,상품이름,가격(원가)
1,[푸마](10710원 무료배송)푸마 퀵드라이 남녀공용 언더셔츠 1종 택일 최신상 (90~115) (15+8%쿠폰),"13,900원"
2,(15+12%) 줄리샵 봄여름 신상/베스트/원피스/블라우스/니트/스커트/투피스/셋업/자켓,"14,200원"
3,((15%+5%쿠폰)) 데이데이 고퀄리티 국내 자체제작 BEST 반팔티셔츠/팬츠/스커트/블라우스/원피스,"11,200원"
4,[다온샵](무료반품/15+12%중복쿠폰) 봄여름 쿨신상 50종팬츠 데님/슬랙스/코튼/청바지/여름바지/스판/빅사이즈,"10,900원"
5,[리바이스바디웨어](5900원 무료배송) Levis 리바이스 아웃밴드 메쉬 드로즈 (95~110),"6,770원"
6,[로즈맘]((15%+10%쿠폰/단하루 한정SALE)) 로즈맘 봄신상 한정세일 마담/엄마옷/중년여성,"10,900원"
7,[몽벨](15+8%쿠폰 무료배송) 푸마/몽벨 외 글로벌브랜드 언더셔츠/팬츠 택1 모음전,"10,000원"
8,(15%+5%쿠폰/역마진SALE) 4800원~ 여름신상/쿨팬츠/데님/카고/조거/트레이닝/원피스/빅사이즈~5XL 50종,"8,700원"
9,((15%+5%쿠폰)) 블랑에이 역마진 마지막SALE 봄/여름 티셔츠/자켓/팬츠/가디건/원피스,"9,900원"
10,빅스마일 누구나 20+10%쿠폰 게스본사 SS특가 반팔티/데님/모자 행사,"28,000원"
11,[르샵]30%쿠폰 르샵/보니스팍스/나인식스뉴욕 외 ~ 24 S/S 놓치면 후회할 봄 BEST/여름신상 미리보기,"22,800원"
12,(70%+20%)앤마그렛 봄신상 3920원부터~블라우스/자켓/반팔티/원피스 외 유니 베어 반팔 트레이닝 셋업_r,"11,200원"
13,(무료반품)((15%+5%쿠폰/시크루즈)) 여름신상/롱원피스/상하세트/점프슈트/가디건/스커트/팬츠/빅사이즈,"15,780원"
14,[BYC]무료반품(15+8%쿠폰)1+1 여성팬티 5매입 2박스 外 언더웨어 특가모음/최다종류/최저가 적용/빅사이즈,"10,000원"
15,((15+5%쿠폰 오늘만 역마진SALE)) 데이뮤즈 여름신상 티셔츠/반팔자켓/트위드/원피스/블라우스/팬츠/가디건,"10,000원"
16,(무료반품) 패션라인 15%+5%쿠폰 여름추천200종 무료배송 윈피스/자켓/블라우스/티셔츠/청바지/세트상품 외,"16,900원"
17,[플루크]15%+5% 플루크 24SS 신상 반팔티셔츠 피그먼트 + 클리어런스 초특가,"19,800원"
18,[난닝구](15%+10%)난닝구/BEST/퀄리티보장/신상/반팔/원피스/스커트/간절기/가디건/데님/XL/바람막이/원피스/밴딩,"19,200원"
19,[15%+5%쿠폰] 브랜드특가 여름신상/여자맨투맨/롱박스티/청자켓/면팬츠/여자바지/조끼코디/베스트코디,"15,900원"
20,((단하루 15%+12% 쿠폰)) 홈쇼핑BEST 여름신상+55~99 빅사이즈 대박SALE 원피스/블라우스/청바지/팬츠/나시,"10,000원"
21,(15%+10%쿠폰) 봄여름신상/반팔/티셔츠/블라우스/자켓/원피스/니트/가디건/,"7,900원"
22,잇수다 (15%+10%) 얼리썸머 오픈 SALE 티셔츠/반팔니트/가디건/자켓/맨투맨/원피스/데님/팬츠,"19,900원"
23,[비너스](15+7%쿠폰)비너스외 노와이어 브라 빅사이즈 브래지어 여성 심리스 여자 속옷 세트 보정 와이어리스,"10,900원"
24,[마담블리]마담블리 국내생산 풍기인견바지 봄/여름 엄마옷 BEST,"11,250원"
25,(무료반품)((15%+5%/모노시크))여름신상/티셔츠/맨투맨/가디건/남방/블라우스/세트/팬츠/스커트/트레이닝,"15,780원"
26,(15+5%쿠폰) 비비안 외 ABCD컵 노와이어 브라 와이어 편한 여성 속옷 브래지어 여자 브라탑 브라자,"11,200원"
27,스위스키친 반팔티셔츠 원피스 가디건 블라우스 기본핏 데일리 베이직 아이템,"9,900원"
28,[흄]15%+10% 흄 - S/S 여름초특가 반팔/반바지/셔츠/슬랙스/데님/자켓/바람막이,"13,400원"
29,((15%+5%쿠폰 오늘만 역마진SALE)) 쉬블림로브 여름신상 4set 잠옷세트/수면잠옷/파자마/홈웨어/상하세트,"6,300원"
30,[페이지플린](15+10%)페이지플린 여름신상 데일리룩 업뎃 원피스/블라우스/자켓/니트/팬츠 外,"24,900원"
31,(20%쿠폰+무료반품)여름미시룩맛집/66/리뷰보증/스커트/바람막이/티셔츠/원피스/블라우스/데님外,"16,200원"
32,[이너리즘](쿠폰가13790원/10장세트)이너리즘 헬로드로즈 남자팬티 남자속옷 가성비 패션 드로즈 HELLO 놀라운 착용감,"18,900원"
33,[BYC](15+3%쿠폰)BYC 여름 잠옷 세트 커플 쿨 인견 반팔 냉감 시원한 파자마 바지 남성 여성 빅사이즈 면 홈웨어,"13,060원"
34,(15+5%쿠폰)(오늘만 이가격) 2024 여름 잠옷 홈웨어 파자마 세트 무료배송 추가쿠폰,"5,500원"
35,15+12%(1+1) 쿠폰가 7730원 남녀공용 9부 아이스 냉장고바지 10종 장당 4120원,"10,300원"
36,(15+12%)3920원~ 로코코 봄신상+베스트 세일 반팔티/셔츠/린넨자켓/원피스/팬츠 외 시어 후드 썸머 셔츠_i,"11,200원"
37,(15+7%쿠폰) 모스트맘 국민잠옷 시원한 냉감 세트/피치기모 세트/주니어 잠옷/커플잠옷,"12,900원"
38,[요즘에](15+12%쿠폰세일) SS 봄여름 신상 BEST 모음/청바지/슬랙스/면바지/반바지/셔츠/티셔츠,"29,900원"
