,상품이름,가격(원가),카테고리
1,(BSD 전용 쿠폰적용가 6천원) 메가박스 일반예매권 2D주중/주말,"15,000원",메가박스
2,베베숲 물티슈 최종가 20900원/고평량 물티슈 프라임 70평량 70매 캡 20팩,"32,150원",물티슈
3,펩시콜라 제로 210ml x 60캔 (30캔 2박스),"38,000원",탄산/기능성음료
4,15+7%) 소문난오부자 재래도시락김5g 72봉 5월 7일 단하루,"21,900원",김
5,브라운 (최종가 20890원) 헤리티지 아기 물티슈 70매 캡형 10팩+10팩,"32,120원",물티슈
6,펩시콜라 제로슈거 라임 355ml 48캔,"42,000원",탄산/기능성음료
7,생리대 (최대 74%할인 12880원+증정) 블랙 중형+대형 6팩+여름세트 증정(롱라20P+중형 6P) 유기농 미피 러브,"18,400원",생리대
8,(20%+10%) (농협쌀/삼광/상) 한토래 단일품종 삼광쌀 20kg / 2023년산 햅쌀,"59,900원",백미
9,빅스마일 누구나 20+10%쿠폰 게스본사 SS특가 반팔티/데님/모자 행사,"28,000원",기본/라운드/브이넥
10,쿠폰가12960원) 한성기업 크래미 몬스터크랩 72g X 15개 (2세트 구매시 1000원 추가할인),"16,200원",어묵/맛살
